Num.,polymer name,m1,c1,m2,c2,Size_pred,PDI_pred,EE_pred,NDI-Size_pred,NDI-PDI_pred,NDI-EE_pred,Deff_pred,logTE_pred
495,,PPG,648,PEG,974,77.5,0.07849999999999999,84.2,1.156393335965,3.196288332511184,0.9322034120559692,0.5534042716026306,5.857215602595615
496,,PPG,811,PEG,384,125.0,0.24689999999999987,84.2,1.1878343548299999,1.501748604885789,0.7974821925163269,0.26154354214668274,5.5824764445921735
497,,PPG,912,PEG,917,87.5,0.08049999999999999,84.2,1.087697826265,1.2692385064110234,0.9373915195465088,0.5416015386581421,6.0410320623757805
498,,PPG,436,PEG,307,125.0,0.22229999999999994,84.2,1.0634903419150001,1.2692250212496816,0.8505036234855652,0.36596816778182983,5.659946930530837
499,,PPG,127,PEG,780,80.61538461538461,0.0807,85.7,1.081315902335,2.422340858730741,0.888110339641571,0.5692062377929688,5.918180734867372
500,,PPG,893,PEG,452,125.0,0.24099999999999985,84.2,1.1878343548299999,1.501748604885789,0.7974821925163269,0.26154354214668274,5.586836435332173
501,,PPG,830,PEG,981,77.5,0.08499999999999999,84.2,1.098832218645,1.3889329619909896,0.9345209002494812,0.5538850426673889,5.947638118951351
502,,PPG,990,PEG,22,125.0,0.4337000000000001,93.3,1.1263197405999998,1.7997689235422576,0.5046201944351196,0.20374540984630585,4.66557474725825
503,,PPG,90,PEG,185,77.5,0.053900000000000045,88.5,1.1024478347599997,2.5080005207703513,0.9401828050613403,0.5568218231201172,5.985502463265013
504,,PPG,844,PEG,744,87.5,0.08029999999999997,84.2,1.0887174448749999,1.2350121828745024,0.9501041769981384,0.5436757206916809,6.0361600859117805
505,,PPG,515,PEG,738,77.5,0.07849999999999999,84.2,1.1578490321650001,3.2058776182239344,0.9322034120559692,0.5534042716026306,5.857215602595615
506,,PPG,612,PEG,395,125.0,0.23369999999999988,84.2,1.1875593542549998,1.4899329738100748,0.8505036234855652,0.3604162633419037,5.624117881595726
507,,PPG,668,PEG,722,77.5,0.08629999999999999,84.2,1.100015936615,1.4207102536929304,0.9345209002494812,0.5416015386581421,5.947699287791352
508,,PPG,729,PEG,272,125.0,0.3122999999999999,33.6,1.0630054729750003,1.4611372320691405,0.8044216632843018,0.26154354214668274,5.5458562661230495
509,,PPG,692,PEG,198,125.0,0.3343999999999999,33.6,1.0215547171750003,1.448896848238555,0.8044216632843018,0.26154354214668274,5.546612519202287
510,,PPG,561,PEG,195,125.0,0.31529999999999997,33.6,1.0435438853700003,1.4344746309977927,0.8044216632843018,0.26154354214668274,5.549185718818287
511,,PPG,571,PEG,243,125.0,0.2502999999999999,84.2,1.183262631695,1.5019094351247477,0.8044216632843018,0.26154354214668274,5.579835375407173
512,,PPG,551,PEG,634,77.5,0.0865,84.2,1.099606073685,1.4230317779912636,0.9345209002494812,0.539495587348938,5.947699287791352
513,,PPG,394,PEG,536,77.5,0.07849999999999999,84.2,1.146324365275,3.206824840445601,0.9246906042098999,0.4872141480445862,5.887166280443949
514,,PPG,489,PEG,195,125.0,0.2676999999999999,84.2,1.1610559004599998,1.4995213144362238,0.8044216632843018,0.26154354214668274,5.579835375407173
515,,PPG,573,PEG,944,77.5,0.0783,88.5,1.15626836507,3.191208967434101,0.9322034120559692,0.5534111261367798,5.920213518421059
516,,PPG,841,PEG,66,109.0,0.4332999999999999,10.400000000000006,1.2004881591299998,1.2829440890039585,0.5046201944351196,0.19455716013908386,4.655095350343584
517,,PPG,901,PEG,870,87.5,0.07999999999999999,84.2,1.087697826265,1.236370717283093,0.9373915195465088,0.5409954786300659,6.0410320623757805
518,,PPG,819,PEG,770,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9373915195465088,0.5409954786300659,6.0410320623757805
519,,PPG,129,PEG,696,96.0,0.06429999999999997,92.6,1.0932299847000002,2.389641686953903,0.9063805937767029,0.5715138912200928,6.031894072789324
520,,PPG,531,PEG,492,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9501041769981384,0.5399951934814453,6.0410320623757805
521,,PPG,301,PEG,64,125.0,0.3059,33.6,1.0017289159900005,1.4834344500321799,0.8132709860801697,0.21551409363746643,5.552575456090886
522,,PPG,960,PEG,865,87.5,0.0879,84.2,1.0877965984699998,1.197622137597714,0.9501041769981384,0.5399951934814453,6.033465982958447
523,,PPG,842,PEG,632,457.0,0.2841,84.2,1.0435604820800002,1.1270126355315233,0.9424911737442017,0.38795527815818787,5.768259375017167
524,,PPG,800,PEG,185,125.0,0.35019999999999996,33.6,1.0215547171750003,1.4364816515804357,0.8157683610916138,0.24337857961654663,5.540950329150469
525,,PPG,471,PEG,357,457.0,0.2841,84.2,1.0435604820800002,1.1271309963380232,0.9424911737442017,0.38795527815818787,5.768259375017167
526,,PPG,583,PEG,316,125.0,0.24099999999999985,84.2,1.1918343548299999,1.5031424887799558,0.7974821925163269,0.26154354214668274,5.586836435332173
527,,PPG,309,PEG,329,77.5,0.06779999999999999,84.2,1.10099747499,1.4158788777254303,0.9345209002494812,0.5416015386581421,5.9452875572933515
528,,PPG,787,PEG,679,87.5,0.08319999999999997,84.2,1.1012292531999999,1.2895632947314102,0.9480200409889221,0.46266135573387146,6.0361600859117805
529,,PPG,214,PEG,19,109.0,0.39739999999999986,10.400000000000006,1.20447202134,1.371861400042056,0.5075362920761108,0.17563369870185852,4.6390686890285835
530,,PPG,345,PEG,580,77.5,0.0783,88.5,1.15666105782,3.1702955084460474,0.9322034120559692,0.5534111261367798,5.920213518421059
531,,PPG,404,PEG,839,77.5,0.07799999999999999,88.5,1.137462050865,2.489964618279139,0.9318186640739441,0.5740095973014832,5.939509141846639
532,,PPG,950,PEG,121,257.0,0.5585000000000002,10.400000000000006,1.0250378958350002,1.198873157138649,0.5048915147781372,0.16021192073822021,4.630902216791084
533,,PPG,943,PEG,915,87.5,0.08049999999999999,84.2,1.087697826265,1.236370717283093,0.9373915195465088,0.5409954786300659,6.0410320623757805
534,,PPG,450,PEG,936,77.5,0.07799999999999999,88.5,1.137462050865,2.489964618279139,0.9318186640739441,0.5740095973014832,5.939509141846639
535,,PPG,368,PEG,623,77.5,0.0783,88.5,1.155053014805,3.1702955084460474,0.9322034120559692,0.5534111261367798,5.920213518421059
536,,PPG,82,PEG,782,80.61538461538461,0.0807,85.7,1.0972800709850004,2.417417543951455,0.8571379780769348,0.39081308245658875,5.8741211268378555
537,,PPG,512,PEG,894,77.5,0.0783,88.5,1.155053014805,3.1702955084460474,0.9322034120559692,0.5534111261367798,5.920213518421059
538,,PPG,127,PEG,682,96.0,0.06429999999999997,92.6,1.0932299847000002,2.389641686953903,0.9063805937767029,0.5715138912200928,6.031894072789324
539,,PPG,164,PEG,645,96.0,0.06229999999999998,92.6,1.1559204409200001,2.397735447487496,0.9281814694404602,0.6165409684181213,5.937458335154531
540,,PPG,47,PEG,808,74.75,0.10849999999999999,92.5,1.1721513987149998,2.386842980988334,0.8610357046127319,0.3732522428035736,5.848700632737077
541,,PPG,644,PEG,634,87.5,0.08049999999999999,84.2,1.087697826265,1.259173604573325,0.9373915195465088,0.5409954786300659,6.0410320623757805
542,,PPG,987,PEG,235,125.0,0.35019999999999996,33.6,1.0215547171750003,1.4413737455979359,0.8157683610916138,0.24337857961654663,5.540950329150469
543,,PPG,938,PEG,422,125.0,0.2502999999999999,84.2,1.1874315599149998,1.501748604885789,0.7974821925163269,0.26154354214668274,5.579835375407173
544,,PPG,280,PEG,21,109.0,0.40439999999999987,10.400000000000006,1.203132741335,1.3644838361356866,0.5075362920761108,0.1894834190607071,4.655095350343584
545,,PPG,920,PEG,238,125.0,0.35019999999999996,33.6,1.0215547171750003,1.445317283542269,0.811000406742096,0.26154354214668274,5.546612519202287
546,,PPG,55,PEG,870,74.75,0.10849999999999999,92.5,1.126393916575,2.386842980988334,0.8610357046127319,0.38090407848358154,5.85154009714344
547,,PPG,704,PEG,70,109.0,0.43169999999999986,10.400000000000006,1.204820530275,1.2829440890039585,0.5046201944351196,0.19382864236831665,4.655095350343584
548,,PPG,574,PEG,319,125.0,0.24099999999999985,84.2,1.1920642398849999,1.5031424887799558,0.7974821925163269,0.26154354214668274,5.593055377692173
549,,PPG,84,PEG,430,96.0,0.06429999999999997,92.6,1.1049442587000002,2.2718347721293024,0.8717961311340332,0.672348141670227,6.0194773061149665
550,,PPG,252,PEG,172,125.0,0.19240000000000002,84.2,1.0630455685700002,1.2781249485102826,0.8457736372947693,0.3628244400024414,5.659946930530837
551,,PPG,669,PEG,381,125.0,0.2375999999999999,84.2,1.1920642398849999,1.5031424887799558,0.7974821925163269,0.26154354214668274,5.5974153684321735
552,,PPG,257,PEG,444,77.5,0.060399999999999995,88.5,1.155053014805,3.1702955084460474,0.9322034120559692,0.5534111261367798,5.918995957914309
553,,PPG,703,PEG,807,77.5,0.0865,84.2,1.099606073685,1.4230317779912636,0.9345209002494812,0.539495587348938,5.947699287791352
554,,PPG,624,PEG,287,125.0,0.24689999999999987,84.2,1.1883376371049998,1.501748604885789,0.7974821925163269,0.26154354214668274,5.5824764445921735
555,,PPG,592,PEG,806,77.5,0.07849999999999999,84.2,1.146324365275,3.206824840445601,0.9246906042098999,0.4872141480445862,5.887166280443949
556,,PPG,120,PEG,169,77.5,0.05450000000000002,84.2,1.12245144595,3.194627523868518,0.9405675530433655,0.5362164378166199,5.888327637670229
557,,PPG,445,PEG,5,125.0,0.4043,93.3,1.1265912731349998,1.8041260802752577,0.5046201944351196,0.20400503277778625,4.66141206783075
558,,PPG,25,PEG,346,80.61538461538461,0.058700000000000016,88.5,1.0390524713800005,2.28606825446132,0.8683741688728333,0.3375290334224701,6.0472175216900474
559,,PPG,698,PEG,662,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9373915195465088,0.5409954786300659,6.0410320623757805
560,,PPG,804,PEG,93,109.0,0.43169999999999986,10.400000000000006,1.204820530275,1.2829440890039585,0.5046201944351196,0.19356901943683624,4.655095350343584
561,,PPG,939,PEG,271,125.0,0.3343999999999999,33.6,1.0215547171750003,1.448896848238555,0.8044216632843018,0.26154354214668274,5.546612519202287
562,,PPG,529,PEG,525,87.5,0.08049999999999999,84.2,1.087697826265,1.2651515988005468,0.9373915195465088,0.5409954786300659,6.0410320623757805
563,,PPG,235,PEG,106,125.0,0.20479999999999998,84.2,1.1808142122949998,1.5462681297348488,0.788329541683197,0.24636533856391907,5.574173185355355
564,,PPG,516,PEG,876,77.5,0.0783,88.5,1.155053014805,3.1702955084460474,0.9322034120559692,0.5534111261367798,5.920213518421059
565,,PPG,77,PEG,766,80.61538461538461,0.0628,85.7,1.0972800709850004,2.4214657653246694,0.855320155620575,0.3807220757007599,5.866953218959855
566,,PPG,89,PEG,456,96.0,0.06429999999999997,92.6,1.1049442587000002,2.3792317723286174,0.8717961311340332,0.672348141670227,6.0194773061149665
567,,PPG,281,PEG,696,77.5,0.07819999999999999,88.5,1.136002693175,2.496700487737343,0.9340671896934509,0.5774606466293335,5.940085230078638
568,,PPG,930,PEG,970,77.5,0.0847,84.2,1.1003802599349999,1.4174661769996804,0.9373915195465088,0.5416015386581421,5.9927779325004
569,,PPG,850,PEG,955,77.5,0.0865,84.2,1.099606073685,1.4197792021062634,0.9345209002494812,0.539495587348938,5.947699287791352
570,,PPG,348,PEG,227,125.0,0.20659999999999995,84.2,1.121234748455,1.3612708787508327,0.8505036234855652,0.3604162633419037,5.621532932102782
571,,PPG,753,PEG,243,125.0,0.33129999999999993,33.6,1.0296186837750003,1.4611357582325548,0.8044216632843018,0.26154354214668274,5.546612519202287
572,,PPG,652,PEG,403,125.0,0.2375999999999999,84.2,1.1875593542549998,1.4899329738100748,0.8505036234855652,0.3532657325267792,5.624117881595726
573,,PPG,423,PEG,537,77.5,0.08549999999999999,84.2,1.10061762871,1.409956994631071,0.9221644401550293,0.5085763931274414,5.956972706204018
574,,PPG,588,PEG,913,77.5,0.07849999999999999,88.5,1.154904757245,3.191208967434101,0.9322034120559692,0.5508102178573608,5.920213518421059
575,,PPG,185,PEG,285,77.5,0.06059999999999999,88.5,1.15843264826,3.1729819974739817,0.9322034120559692,0.5508102178573608,5.918995957914309
