Target,Train_R2,Train_MAE,Train_MSE,Train_RMSE,Train_MAPE,Train_MEDAE,Test_R2,Test_MAE,Test_MSE,Test_RMSE,Test_MAPE,Test_MEDAE,Best_Params
Size,0.9992809554435861,1.1661839717914486,5.9501851471477645,2.439300134700067,0.01416985866203239,0.0,0.48039349254560326,18.95283995839551,4436.73963732266,66.60885554731188,0.08974946654119163,4.0,{'model__max_depth': 10}
PDI,0.9816390615239045,0.010879906542056084,0.0003591474299065428,0.018951185448581914,0.09022936801523415,0.005549999999999909,0.8263138807516459,0.03392037037037036,0.0044671224074074,0.0668365349745736,0.17556525440890877,0.012949999999999962,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
EE,1.0,3.652322473533225e-16,1.9463484016667953e-30,1.395115909760474e-15,2.0914988819629183e-17,0.0,0.9053877415329468,3.0074074074074075,72.73037037037035,8.528210267715632,0.09970760856640888,1.0499999999999972,{'model__max_depth': None}
NDI-Size,0.9680068927590553,0.03288370282186924,0.0021120223375852227,0.04595674420131633,0.025884571660748708,0.024619249085000128,0.857123650304977,0.07905339836342604,0.011548770234176216,0.107465204760314,0.06658252731103312,0.05969167978500001,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
NDI-PDI,0.8623485903851289,0.23598873008678603,0.1286433538773679,0.35866886382479296,0.11002688722732819,0.15637026420787214,0.8377880484425415,0.2808656097285309,0.1325831430571849,0.3641196823259969,0.16270309470409347,0.22704359467418234,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
NDI-EE,0.9204411363441287,0.02884222347100502,0.0027567693622757047,0.0525049460744005,0.04631266828305689,0.016834641306945786,0.3170763715685262,0.11076846751315139,0.06138844583004196,0.24776691835279777,0.11149506784723959,0.03447186044769285,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 50, 'model__subsample': 0.8}"
Deff,0.9875804366925456,0.01055965209282308,0.00020136856158086506,0.014190439090488534,0.09998013096257834,0.008055301308631892,0.9086210780518493,0.02187446600971399,0.0010795968374238448,0.032857218954498335,0.22058733283750004,0.012888027250766758,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}"
