Feature,Model_Weight,Mean_SHAP
Arms,0.10027854777447387,0.1115840579976104
hydrophilicity,0.00015283566599457176,0.0006741439522253586
Concentration,0.08353254794693808,0.09466558340753765
MW,0.10702471076252082,0.08517653569566626
MaxEStateIndex,0.0012914623420529595,0.0019479103527390224
MinAbsEStateIndex,0.0024679158084800947,0.0021423813826683103
MinEStateIndex,0.0045989850899653675,0.005307285734716854
qed,0.02252119283686526,0.07686331433648877
SPS,0.015658694913547405,0.009297310237936956
MolWt,0.0057989154044008956,0.003740907657403925
HeavyAtomMolWt,0.0023837489725294877,0.0020116763814101517
NumValenceElectrons,0.0006766602269649251,0.0008221453721009602
MaxPartialCharge,0.0006957336059018862,0.0021028523656427653
MinPartialCharge,0.01713464565369661,0.012513180061688117
MaxAbsPartialCharge,0.041606702754444606,0.04218476920237364
MinAbsPartialCharge,0.0081011773144598,0.03208040153031489
FpDensityMorgan1,0.009273428430077014,0.004761954692681033
FpDensityMorgan2,0.009540312384942625,0.0038393572593690343
FpDensityMorgan3,0.0076714944634872426,0.005229285464518835
BCUT2D_MWHI,0.0019186450957712098,0.002118917616167022
BCUT2D_MWLOW,0.005791681140052437,0.003961915400432969
BCUT2D_CHGHI,0.00893411462645656,0.006917541477945801
BCUT2D_CHGLO,0.006754072380879259,0.00394820958044689
BCUT2D_LOGPHI,0.004614028652695539,0.006769088681848084
BCUT2D_LOGPLOW,0.005595400609666355,0.0033095601010415345
BCUT2D_MRHI,0.0018152753814950776,0.0014243963376841908
BCUT2D_MRLOW,0.001777566743305053,0.002167326756522164
AvgIpc,0.0161127042219933,0.009922174683658256
BalabanJ,0.004557156687729008,0.007043925762288428
BertzCT,0.000612875002007066,0.000771413149806586
Chi0,0.0010432871999580997,0.0010023022298627003
Chi0n,0.0081339150783371,0.005192509717399438
Chi0v,0.0015371249433242884,0.0013562436187724502
Chi1,0.006597573432933869,0.003855675372907558
Chi1n,0.006033753908279108,0.004966097031225511
Chi1v,0.003047251235174642,0.0026278311210733572
Chi2n,0.0021343413548342836,0.005722284508642028
Chi2v,0.0020969108030133364,0.002166871703843075
Chi3n,0.004114501806773849,0.0030478656983940478
Chi3v,0.000700374823491801,0.002748270373934467
Chi4n,0.00481402650136685,0.002799716103358441
Chi4v,0.00024935777720313336,0.00029219169087453973
HallKierAlpha,0.0003770823602496093,0.0006562937410621663
Ipc,0.07922500445825899,0.056306617119546355
Kappa1,0.004145016221342508,0.002269130298118702
Kappa2,0.002473451838610085,0.0020154233171992956
Kappa3,0.009362113487502013,0.005054711297590644
LabuteASA,0.0016416819469555434,0.0016492901100972034
PEOE_VSA1,0.0001449064680044461,0.00028632651118171295
PEOE_VSA10,6.536304332675909e-06,4.7706413947528667e-05
PEOE_VSA12,1.1011375892966666e-05,9.041654772320262e-05
PEOE_VSA14,0.00023379314197624992,0.0007132182881130801
PEOE_VSA2,0.0003887773163598554,0.00040254598260717464
PEOE_VSA3,1.2481270803333016e-07,3.947660602840406e-06
PEOE_VSA6,0.043034164358731426,0.032484853212898956
PEOE_VSA7,0.0028623182082056545,0.008557422899944496
PEOE_VSA8,0.0006803642267303073,0.0006700380801815959
PEOE_VSA9,0.004751468738905156,0.004113343551758853
SMR_VSA1,0.0003641048033141956,0.00047052620954996996
SMR_VSA10,3.8534396415517415e-06,4.879969005324719e-05
SMR_VSA3,1.2516309584833584e-07,6.686831051625868e-06
SMR_VSA4,3.1702110011807815e-06,4.145401351081884e-05
SMR_VSA5,0.04622173139745161,0.08612609905277714
SMR_VSA6,0.005035557697525874,0.004017410683915889
SMR_VSA7,1.6247906559733968e-05,9.731344287823839e-05
SlogP_VSA1,7.59851342341666e-06,0.00016888339155384663
SlogP_VSA2,0.008018371893602263,0.006370075952682982
SlogP_VSA3,0.0010459733914403183,0.0049956813365413175
SlogP_VSA5,0.05563435355525368,0.0735994199947029
SlogP_VSA6,3.581428350321177e-06,3.5014273480488425e-05
TPSA,0.000279843741909086,0.0003256182592182371
EState_VSA1,0.0030934852462521614,0.002518473838935947
EState_VSA10,0.00024851273459221924,0.0007211857773404004
EState_VSA2,0.0021793300779644072,0.002257595440822462
EState_VSA3,0.00013193572164150197,0.00019238198411611484
EState_VSA4,9.28759128801003e-05,0.0005785121758436179
EState_VSA5,0.007365282966795223,0.006659354897430669
EState_VSA7,5.251851072991975e-07,1.2635345291697214e-05
EState_VSA8,1.4515938480607971e-05,0.00010686855415049775
EState_VSA9,7.156233259859652e-05,0.00017319816917266465
VSA_EState1,4.1261954860635905e-06,4.022233789326442e-05
VSA_EState2,0.0011417528060772445,0.006250812475239641
VSA_EState3,0.034018088959329625,0.05321043348155401
VSA_EState4,1.9677043403965456e-06,5.144000536108409e-05
VSA_EState5,8.696763632160741e-05,0.00034942381986927064
VSA_EState7,0.048286555494452765,0.033624228807146724
VSA_EState8,0.013351790440006233,0.018868412921633916
FractionCSP3,0.0007463061783788246,0.0006110713937419016
HeavyAtomCount,0.0019088174082201488,0.0023197195419019812
NHOHCount,8.883299206109603e-05,0.00020169163698011827
NOCount,4.58391823961231e-05,0.0002143173827953601
NumAliphaticHeterocycles,4.984132292845467e-07,7.471334122156196e-06
NumAliphaticRings,7.373783660873784e-07,2.8321879676941972e-05
NumAmideBonds,4.09639530632382e-06,4.2122622779935424e-05
NumAtomStereoCenters,0.012935434477590005,0.013929030326169786
NumHAcceptors,0.00019389510722326724,0.0002450748748107189
NumHDonors,0.00043046842265437915,0.0009410040692895301
NumHeteroatoms,1.4565360470113167e-06,2.4282031215105237e-05
NumHeterocycles,1.6792323994531457e-06,3.684429768487175e-05
NumRotatableBonds,4.012861548695726e-05,0.0001286194314393965
NumSaturatedHeterocycles,1.062824870357358e-06,2.0782167063161907e-05
NumSaturatedRings,6.40265609382662e-06,0.00010015934654180159
NumUnspecifiedAtomStereoCenters,0.013625006286723343,0.044792310403694156
Phi,0.009703334857790676,0.0032068316129345207
RingCount,7.658131311506257e-06,9.632007199265751e-05
MolLogP,0.0025357321162369317,0.0026124452213090537
MolMR,0.006388079553812211,0.004132012509977246
fr_Al_COO,0.00019828686770943785,0.0008357761003628455
fr_Al_OH,1.5372200378746874e-05,0.00013641393693207454
fr_Al_OH_noTert,0.00040646503233054303,0.0008222178724224245
fr_COO,0.00022087739255218736,0.0008127884444164498
fr_COO2,0.00024303700279757452,0.0002958894620133584
fr_C_O,6.719706014993018e-05,0.00045400452461211643
fr_C_O_noCOO,3.0901596681168597e-07,1.6134915800987455e-05
fr_NH0,2.295311959943011e-06,3.504936197075654e-05
fr_NH1,1.2353453124569964e-06,4.488776119102733e-05
fr_NH2,1.4044240463244177e-05,6.822327643572885e-05
fr_allylic_oxid,6.34709288838595e-06,0.00011148482419066098
fr_amide,7.85279779968376e-06,7.027269957428371e-05
fr_ester,4.441704588471456e-07,1.775088901798134e-05
fr_ether,1.472824860845128e-06,1.085208349286585e-05
fr_lactone,1.509521909017594e-07,4.84027328162988e-06
fr_priamide,2.8178517171778222e-05,0.00010620763549907411
fr_unbrch_alkane,0.03466371189066544,0.024637904726251766
