名称,ndi,Size_after,PDI_After,EE_after,DC,polymer,arms,monomer 1,degree 1,monomer 2,degree 2,MW,concentration,hydrophobicity,,type
51,0.612241055,110,0.13,82.5,0.461,237,1,1,23,2,128,7835,10,0,5.565217391,SingleArms-Amphiphilic
52,0.772160999,113,0.14,80.9,0.486,237,1,1,23,2,128,7835,20,0,5.565217391,SingleArms-Amphiphilic
53,2.741007524,116,0.22,77.3,0.071,105,1,1,16,2,22,1900,1,0,1.375,SingleArms-Amphiphilic
54,2.759259259,105,0.2,75.2,0.077,105,1,1,16,2,22,1900,5,0,1.375,SingleArms-Amphiphilic
55,2.769759694,107,0.2,74.6,0.085,105,1,1,16,2,22,1900,10,0,1.375,SingleArms-Amphiphilic
56,3.014470791,110,0.21,74.8,0.073,105,1,1,16,2,22,1900,20,0,1.375,SingleArms-Amphiphilic
57,0.54309243,258,0.32,42.4,0.035,181,1,1,31,2,4,2000,1,0,0.129032258,SingleArms-Amphiphilic
58,0.642997565,276,0.33,41.3,0.041,181,1,1,31,2,4,2000,5,0,0.129032258,SingleArms-Amphiphilic
59,0.60746351,283,0.35,47.2,0.031,181,1,1,31,2,4,2000,10,0,0.129032258,SingleArms-Amphiphilic
60,0.630781259,315,0.42,45.9,0.03,181,1,1,31,2,4,2000,20,0,0.129032258,SingleArms-Amphiphilic
61,2.347139651,121,0.19,70.6,0.084,184,1,1,30,2,26,2900,1,0,0.866666667,SingleArms-Amphiphilic
62,1.620237429,112,0.15,75.4,0.075,184,1,1,30,2,26,2900,5,0,0.866666667,SingleArms-Amphiphilic
63,1.340010701,110,0.15,75.2,0.076,184,1,1,30,2,26,2900,10,0,0.866666667,SingleArms-Amphiphilic
64,1.711733476,115.2,0.16,78.5,0.088,184,1,1,30,2,26,2900,20,0,0.866666667,SingleArms-Amphiphilic
65,0.349200268,354,0.45,41.3,0.03,L31,1,1,16,2,4,1100,1,0,0.25,SingleArms-Amphiphilic
66,0.175733955,332,0.41,42.7,0.048,L31,1,1,16,2,4,1100,5,0,0.25,SingleArms-Amphiphilic
67,0.193427123,314,0.43,44.9,0.041,L31,1,1,16,2,4,1100,10,0,0.25,SingleArms-Amphiphilic
68,0.075131337,326,0.39,41.8,0.043,L31,1,1,16,2,4,1100,20,0,0.25,SingleArms-Amphiphilic
69,1.542210145,175,0.23,57,0.058,401,1,1,68,2,8,4400,1,0,0.117647059,SingleArms-Amphiphilic
70,1.440924236,158,0.21,64.2,0.078,401,1,1,68,2,8,4400,5,0,0.117647059,SingleArms-Amphiphilic
71,1.517915552,160,0.22,62.7,0.098,401,1,1,68,2,8,4400,10,0,0.117647059,SingleArms-Amphiphilic
72,1.290671768,153,0.2,66.3,0.104,401,1,1,68,2,8,4400,20,0,0.117647059,SingleArms-Amphiphilic
73,1.865112487,110,0.18,71.2,0.057,P10R5,1,1,44,2,8,2000,1,0,0.181818182,SingleArms-Amphiphilic
74,1.493455087,95,0.15,77.1,0.119,P10R5,1,1,44,2,8,2000,5,0,0.181818182,SingleArms-Amphiphilic
75,1.049798224,88,0.13,80.3,0.143,P10R5,1,1,44,2,8,2000,10,0,0.181818182,SingleArms-Amphiphilic
76,0.591422122,84,0.12,80.5,0.161,P10R5,1,1,44,2,8,2000,20,0,0.181818182,SingleArms-Amphiphilic
77,0.726972722,95,0.17,63.6,0.063,P84,1,1,43,2,38,4200,1,0,0.88372093,SingleArms-Amphiphilic
78,0.262233208,91,0.14,67.9,0.139,P84,1,1,43,2,38,4200,5,0,0.88372093,SingleArms-Amphiphilic
79,0.255900621,85,0.12,71.4,0.177,P84,1,1,43,2,38,4200,10,0,0.88372093,SingleArms-Amphiphilic
80,0.256018274,83,0.12,72.1,0.198,P84,1,1,43,2,38,4200,20,0,0.88372093,SingleArms-Amphiphilic
81,1.101529945,94,0.16,74.3,0.106,P85,1,1,40,2,50,4600,1,0,1.25,SingleArms-Amphiphilic
82,0.844593915,89,0.15,79.1,0.221,P85,1,1,40,2,50,4600,5,0,1.25,SingleArms-Amphiphilic
83,0.641190198,85,0.15,73.6,0.315,P85,1,1,40,2,50,4600,10,0,1.25,SingleArms-Amphiphilic
84,0.645857643,85,0.15,73.2,0.349,P85,1,1,40,2,50,4600,20,0,1.25,SingleArms-Amphiphilic
85,0.880275888,138,0.22,61.5,0.111,PLGA(50:50)(10-20000),1,4,57,5,57,15000,1,0,,SingleArms-Amphiphilic
86,0.935245789,125,0.21,66.3,0.108,PLGA(50:50)(10-20000),1,4,57,5,57,15000,5,0,,SingleArms-Amphiphilic
87,1.339157557,121,0.21,57.2,0.109,PLGA(50:50)(10-20000),1,4,57,5,57,15000,10,0,,SingleArms-Amphiphilic
88,1.189245026,114,0.2,60.1,0.098,PLGA(50:50)(10-20000),1,4,57,5,57,15000,20,0,,SingleArms-Amphiphilic
89,0.433099653,145,0.18,61.3,0.138,PLGA(65:35)（24-38000）,1,4,149,5,80.5,31000,1,0,,SingleArms-Amphiphilic
90,0.683162791,129,0.21,65.7,0.162,PLGA(65:35)（24-38000）,1,4,149,5,80.5,31000,5,0,,SingleArms-Amphiphilic
91,0.708601729,127,0.21,66.2,0.15,PLGA(65:35)（24-38000）,1,4,149,5,80.5,31000,10,0,,SingleArms-Amphiphilic
92,0.707100523,121,0.21,65.9,0.143,PLGA(65:35)（24-38000）,1,4,149,5,80.5,31000,20,0,,SingleArms-Amphiphilic
93,1.199689441,124,0.25,55.8,0.126,PLGA(75:25)（4-15000）,1,4,52,5,17,9500,1,0,,SingleArms-Amphiphilic
94,1.437959838,122,0.25,54.7,0.142,PLGA(75:25)（4-15000）,1,4,52,5,17,9500,5,0,,SingleArms-Amphiphilic
95,1.19099831,116,0.21,58.3,0.153,PLGA(75:25)（4-15000）,1,4,52,5,17,9500,10,0,,SingleArms-Amphiphilic
96,1.155027813,103,0.22,59.4,0.158,PLGA(75:25)（4-15000）,1,4,52,5,17,9500,20,0,,SingleArms-Amphiphilic
97,1.074378252,154,0.25,52.1,0.11,PLGA(90:10)（25-35000）,1,4,190,5,21.5,30000,1,0,,SingleArms-Amphiphilic
98,1.025270425,142,0.28,57.7,0.094,PLGA(90:10)（25-35000）,1,4,190,5,21.5,30000,5,0,,SingleArms-Amphiphilic
99,1.143109889,158,0.28,59.4,0.087,PLGA(90:10)（25-35000）,1,4,190,5,21.5,30000,10,0,,SingleArms-Amphiphilic
100,1.203815186,155,0.27,50.5,0.084,PLGA(90:10)（25-35000）,1,4,190,5,21.5,30000,20,0,,SingleArms-Amphiphilic
101,2.712750076,154,0.26,62.1,0.069,PVA(Mw: 27000),1,0,0,3,614,27000,1,1,,Hydrophilic
102,2.172958824,146,0.24,63.8,0.144,PVA(Mw: 27000),1,0,0,3,614,27000,5,1,,Hydrophilic
103,2.548273388,141,0.23,63.9,0.167,PVA(Mw: 27000),1,0,0,3,614,27000,10,1,,Hydrophilic
104,2.536664181,138,0.23,64.6,0.187,PVA(Mw: 27000),1,0,0,3,614,27000,20,1,,Hydrophilic
105,2.076221336,145,0.25,63.1,0.085,PVA(Mw: 47000),1,0,0,3,1068,47000,1,1,,Hydrophilic
106,2.339330215,137,0.24,64.9,0.155,PVA(Mw: 47000),1,0,0,3,1068,47000,5,1,,Hydrophilic
107,2.621022067,136,0.24,64.2,0.177,PVA(Mw: 47000),1,0,0,3,1068,47000,10,1,,Hydrophilic
108,1.92650974,131,0.23,65.3,0.206,PVA(Mw: 47000),1,0,0,3,1068,47000,20,1,,Hydrophilic
109,3.601265823,170,0.26,61.5,0.085,4 arm PEG2000,4,0,0,2,11,2000,1,1,,Hydrophilic
110,3.317042271,157,0.25,63.3,0.086,4 arm PEG2000,4,0,0,2,11,2000,5,1,,Hydrophilic
111,2.881953723,147,0.25,64.1,0.1,4 arm PEG2000,4,0,0,2,11,2000,10,1,,Hydrophilic
112,2.193712404,141,0.24,64.5,0.072,4 arm PEG2000,4,0,0,2,11,2000,20,1,,Hydrophilic
113,2.869828429,145,0.25,65.2,0.1,4 arm PEG5000,4,0,0,2,28,5000,1,1,,Hydrophilic
114,2.46630985,132,0.25,67.3,0.119,4 arm PEG5000,4,0,0,2,28,5000,5,1,,Hydrophilic
115,2.263386613,125,0.24,68.3,0.112,4 arm PEG5000,4,0,0,2,28,5000,10,1,,Hydrophilic
116,1.76397161,117,0.23,69.5,0.111,4 arm PEG5000,4,0,0,2,28,5000,20,1,,Hydrophilic
117,2.484439256,121,0.25,67.3,0.079,4 arm PEG10000,4,0,0,2,57,10000,1,1,,Hydrophilic
118,2.273230715,115,0.24,68.2,0.11,4 arm PEG10000,4,0,0,2,57,10000,5,1,,Hydrophilic
119,1.983793984,108,0.21,70.4,0.144,4 arm PEG10000,4,0,0,2,57,10000,10,1,,Hydrophilic
120,1.07044116,110,0.2,70.1,0.16,4 arm PEG10000,4,0,0,2,57,10000,20,1,,Hydrophilic
121,2.188583313,125,0.23,66.9,0.071,4 arm PEG20000,4,0,0,2,114,20000,1,1,,Hydrophilic
122,1.751959375,103,0.2,70.7,0.142,4 arm PEG20000,4,0,0,2,114,20000,5,1,,Hydrophilic
123,1.91886431,99,0.19,71.4,0.163,4 arm PEG20000,4,0,0,2,114,20000,10,1,,Hydrophilic
124,1.552306573,94,0.17,71.3,0.192,4 arm PEG20000,4,0,0,2,114,20000,20,1,,Hydrophilic
125,3.562988405,156,0.25,67.1,0.095,8 arm PEG10000,8,0,0,2,28,10000,1,1,,Hydrophilic
126,2.877332852,124,0.26,64.2,0.082,8 arm PEG10000,8,0,0,2,28,10000,5,1,,Hydrophilic
127,2.33231736,115,0.24,62.9,0.103,8 arm PEG10000,8,0,0,2,28,10000,10,1,,Hydrophilic
128,2.3492569,112,0.24,61.3,0.107,8 arm PEG10000,8,0,0,2,28,10000,20,1,,Hydrophilic
129,2.271305226,137,0.25,58.7,0.076,8 arm PEG20000,8,0,0,2,57,20000,1,1,,Hydrophilic
130,2.145110643,128,0.25,61.2,0.101,8 arm PEG20000,8,0,0,2,57,20000,5,1,,Hydrophilic
131,2.696520432,124,0.24,63.4,0.105,8 arm PEG20000,8,0,0,2,57,20000,10,1,,Hydrophilic
132,2.222964224,121,0.23,63.1,0.13,8 arm PEG20000,8,0,0,2,57,20000,20,1,,Hydrophilic
133,2.243144978,142,0.26,57.9,0.098,8 arm PEG40000,8,0,0,2,114,40000,1,1,,Hydrophilic
134,2.835301791,136,0.25,60.2,0.12,8 arm PEG40000,8,0,0,2,114,40000,5,1,,Hydrophilic
135,2.431563163,132,0.25,61.4,0.144,8 arm PEG40000,8,0,0,2,114,40000,10,1,,Hydrophilic
