Num.,Polymer,TE,logTE,NDI,Size-neb,PDI-neb,EE-Neb,Size,PDI,EE,NDI-Size,NDI-PDI,NDI-EE,Deff,Arms,hydrophilicity,Concentration,MW,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAtomStereoCenters,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_allylic_oxid,fr_amide,fr_ester,fr_ether,fr_lactone,fr_priamide,fr_unbrch_alkane
54,PLGA(50:50)(10-20K),244000,5.387389826,0.935245789,125,0.21,66.3,110,0.13,81.2,1.136363636,1.615384615,0.816502463,0.108,1,0,5,15000,9.297539488,0.998681078,-1.212407198,0.440055117,10.79789441,83.65668056,78.5315707,33.25330316,0.330407789,-0.479429525,0.479429525,0.330407789,1.818073906,2,2,16.39597841,10.58836086,1.923759376,-1.808897116,1.617201604,-2.062826041,5.690399117,-0.142574181,1.369121483,3.06980034,49.32169569,4.756318031,2.981643244,2.981643244,2.472128463,1.343918982,1.343918982,0.802551268,0.802551268,0.255703013,0.255703013,0,0,-0.57,11.7976647,4.972217193,1.746535248,2.503646429,32.30536379,10.21305479,6.334192493,0,5.969305288,0,4.794537184,0,3.754169347,0,0,15.00759197,5.969305288,0,0,7.063844867,3.024516974,0,0,22.51655257,4.794537184,3.754169347,0,57.53,12.30349778,2.599680492,0,0,0,3.754169347,0,0,12.40791148,0,9.297539488,15.42537686,0,-1.18730455,-0.667730431,0.292850151,0.590369532,5.542217193,2,3,0,0,0,0.542217193,2,2,3,0,1,0,0,0.542217193,1.565640618,0,-0.726048621,17.213088,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
55,PLGA(50:50)(10-20K),177000,5.247973266,1.339157557,121,0.21,57.2,106,0.11,80.4,1.141509434,1.909090909,0.711442786,0.109,1,0,10,15000,9.297539488,0.998681078,-1.212407198,0.440055117,10.79789441,83.65668056,78.5315707,33.25330316,0.330407789,-0.479429525,0.479429525,0.330407789,1.818073906,2,2,16.39597841,10.58836086,1.923759376,-1.808897116,1.617201604,-2.062826041,5.690399117,-0.142574181,1.369121483,3.06980034,49.32169569,4.756318031,2.981643244,2.981643244,2.472128463,1.343918982,1.343918982,0.802551268,0.802551268,0.255703013,0.255703013,0,0,-0.57,11.7976647,4.972217193,1.746535248,2.503646429,32.30536379,10.21305479,6.334192493,0,5.969305288,0,4.794537184,0,3.754169347,0,0,15.00759197,5.969305288,0,0,7.063844867,3.024516974,0,0,22.51655257,4.794537184,3.754169347,0,57.53,12.30349778,2.599680492,0,0,0,3.754169347,0,0,12.40791148,0,9.297539488,15.42537686,0,-1.18730455,-0.667730431,0.292850151,0.590369532,5.542217193,2,3,0,0,0,0.542217193,2,2,3,0,1,0,0,0.542217193,1.565640618,0,-0.726048621,17.213088,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
56,PLGA(50:50)(10-20K),389000,5.589949601,1.189245026,114,0.2,60.1,102,0.11,80.5,1.117647059,1.818181818,0.746583851,0.098,1,0,20,15000,9.297539488,0.998681078,-1.212407198,0.440055117,10.79789441,83.65668056,78.5315707,33.25330316,0.330407789,-0.479429525,0.479429525,0.330407789,1.818073906,2,2,16.39597841,10.58836086,1.923759376,-1.808897116,1.617201604,-2.062826041,5.690399117,-0.142574181,1.369121483,3.06980034,49.32169569,4.756318031,2.981643244,2.981643244,2.472128463,1.343918982,1.343918982,0.802551268,0.802551268,0.255703013,0.255703013,0,0,-0.57,11.7976647,4.972217193,1.746535248,2.503646429,32.30536379,10.21305479,6.334192493,0,5.969305288,0,4.794537184,0,3.754169347,0,0,15.00759197,5.969305288,0,0,7.063844867,3.024516974,0,0,22.51655257,4.794537184,3.754169347,0,57.53,12.30349778,2.599680492,0,0,0,3.754169347,0,0,12.40791148,0,9.297539488,15.42537686,0,-1.18730455,-0.667730431,0.292850151,0.590369532,5.542217193,2,3,0,0,0,0.542217193,2,2,3,0,1,0,0,0.542217193,1.565640618,0,-0.726048621,17.213088,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
57,PPG(Mw: 3K),869000,5.939019776,1.572029443,112,0.1,72.4,84,0.05,95.1,1.333333333,2,0.761303891,0.081,1,-1,1,3000,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,PPG(Mw: 3K),1760000,6.245512668,0.842926219,126,0.1,82.7,121,0.06,95.6,1.041322314,1.666666667,0.865062762,0.149,1,-1,5,3000,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,PPG(Mw: 3K),1810000,6.257678575,0.646560847,129,0.09,82.9,126,0.06,94.5,1.023809524,1.5,0.877248677,0.14,1,-1,10,3000,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,PPG(Mw: 3K),1930000,6.285557309,0.386460554,137,0.1,83.1,134,0.08,93.8,1.02238806,1.25,0.885927505,0.137,1,-1,20,3000,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,PPG(Mw: 600),47400,4.675778342,4.265857354,141,0.25,59.6,81,0.06,92.9,1.740740741,4.166666667,0.641550054,0.103,1,-1,1,600,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,PPG(Mw: 600),64600,4.810232518,5.268576759,137,0.26,60.4,80,0.05,93.8,1.7125,5.2,0.643923241,0.087,1,-1,5,600,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,PPG(Mw: 600),62800,4.797959644,5.425818982,133,0.27,61.3,79,0.05,93.2,1.683544304,5.4,0.657725322,0.094,1,-1,10,600,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
