Num,Name,SMILES
1,PPG,CC(CO)O
2,PEG,C(CO)O
3,PVA,C=CO
4,PLA,CC(C(=O)O)O
5,PGA,C(C(=O)O)O
6,LA,CCCCCCCCCCCC(=O)O
7,PA,CCCCCCCCCCCCCCCC(=O)O
8,SA,CCCCCCCCCCCCCCCCCC(=O)O
9,OA,CCCCCCCC/C=C\CCCCCCCC(=O)O
10,PCL,O=C1CCCCCO1
11,PEI,C1CN1
12,PAM,C=CC(=O)N
13,BPEI,NCCN(CCN)CN
