Num.,Polymer,m1,c1,m2,c2,Size-neb,PDI-neb,EE-neb,Size,PDI,EE,NDI-Size,NDI-PDI,NDI-EE,Deff,Arms,hydrophilicity,Concentration,MW,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAtomStereoCenters,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_allylic_oxid,fr_amide,fr_ester,fr_ether,fr_lactone,fr_priamide,fr_unbrch_alkane
11,T704,PPG,56,PEG,52,90,0.07,87.1,88,0.06,92.3,1.022727273,1.166666667,0.943661972,0.32,4,0,10,5500,7.901607669,0.132903076,-0.372629722,0.423635243,11.76766118,70.04966444,62.85451712,29.41412894,0.070785642,-0.393825241,0.393825241,0.070785642,1.455217192,1.676766118,1.676766118,16.31044915,10.613722,1.719198306,-1.811002958,1.557260255,-1.951855634,4.217535222,0.142648003,1.375407682,2.296124789,13.31463069,3.909400808,2.803827999,2.803827999,2.116695334,1.37575187,1.37575187,0.779739487,0.779739487,0.193446896,0.193446896,0,0,-0.08,8.446153287,4.48902149,2.496137053,3.05804298,28.31444949,10.21305479,0,0,0,0,0,0,3.939755258,0,12.92759416,10.21305479,0,0,0,7.413043309,9.45430611,0,0,23.14064895,0,3.939755258,0,40.46,3.473288049,0,9.45430611,0,0,3.939755258,0,0,10.21305479,0,0,15.67940048,0,0,-0.318757409,0.682562998,1,4.56902149,2,2,0,0,0,0.56902149,2,2,2,0,1,0,0,0.56902149,2.451165031,0,-0.807935151,16.78625375,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,T704,PPG,56,PEG,52,91,0.08,86.8,89,0.07,91.5,1.02247191,1.142857143,0.94863388,0.395,4,0,20,5500,7.901607669,0.132903076,-0.372629722,0.423635243,11.76766118,70.04966444,62.85451712,29.41412894,0.070785642,-0.393825241,0.393825241,0.070785642,1.455217192,1.676766118,1.676766118,16.31044915,10.613722,1.719198306,-1.811002958,1.557260255,-1.951855634,4.217535222,0.142648003,1.375407682,2.296124789,13.31463069,3.909400808,2.803827999,2.803827999,2.116695334,1.37575187,1.37575187,0.779739487,0.779739487,0.193446896,0.193446896,0,0,-0.08,8.446153287,4.48902149,2.496137053,3.05804298,28.31444949,10.21305479,0,0,0,0,0,0,3.939755258,0,12.92759416,10.21305479,0,0,0,7.413043309,9.45430611,0,0,23.14064895,0,3.939755258,0,40.46,3.473288049,0,9.45430611,0,0,3.939755258,0,0,10.21305479,0,0,15.67940048,0,0,-0.318757409,0.682562998,1,4.56902149,2,2,0,0,0,0.56902149,2,2,2,0,1,0,0,0.56902149,2.451165031,0,-0.807935151,16.78625375,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,T901,PPG,72.8,PEG,10.8,193,0.38,61.2,252,0.39,65.3,0.765873016,0.974358974,0.937212864,0.068,4,0,1,4700,8.05863859,0.137389674,-0.513209785,0.43277943,14.19042396,74.58087692,66.73449096,31.35233917,0.0733738,-0.3937314,0.3937314,0.0733738,1.713645223,1.919042396,1.919042396,16.31396374,10.49756907,1.800890514,-1.87454942,1.650734211,-2.012347038,4.305559883,0.118071835,1.377937983,2.478573037,17.46716631,4.190519947,3.084947138,3.084947138,2.231644784,1.513871859,1.513871859,0.968515335,0.968515335,0.246496952,0.246496952,0,0,-0.08,9.349595548,4.812056528,2.255508913,3.704113056,30.37054881,10.21305479,0,0,0,0,0,0,6.176364969,0,12.7651348,10.21305479,0,0,0,11.62144804,7.320051742,0,0,22.97818959,0,6.176364969,0,40.46,5.445083065,0,7.320051742,0,0,6.176364969,0,0,10.21305479,0,0,15.92317229,0,0,-0.499716851,1.211981532,1,4.892056528,2,2,0,0,0,0.892056528,2,2,2,0,1,0,0,0.892056528,2.21815999,0,-0.682436039,18.27059975,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,T901,PPG,72.8,PEG,10.8,410.1,0.68,3,586,0.77,20.1,0.699829352,0.883116883,0.149253731,0.029,4,0,5,4700,8.05863859,0.137389674,-0.513209785,0.43277943,14.19042396,74.58087692,66.73449096,31.35233917,0.0733738,-0.3937314,0.3937314,0.0733738,1.713645223,1.919042396,1.919042396,16.31396374,10.49756907,1.800890514,-1.87454942,1.650734211,-2.012347038,4.305559883,0.118071835,1.377937983,2.478573037,17.46716631,4.190519947,3.084947138,3.084947138,2.231644784,1.513871859,1.513871859,0.968515335,0.968515335,0.246496952,0.246496952,0,0,-0.08,9.349595548,4.812056528,2.255508913,3.704113056,30.37054881,10.21305479,0,0,0,0,0,0,6.176364969,0,12.7651348,10.21305479,0,0,0,11.62144804,7.320051742,0,0,22.97818959,0,6.176364969,0,40.46,5.445083065,0,7.320051742,0,0,6.176364969,0,0,10.21305479,0,0,15.92317229,0,0,-0.499716851,1.211981532,1,4.892056528,2,2,0,0,0,0.892056528,2,2,2,0,1,0,0,0.892056528,2.21815999,0,-0.682436039,18.27059975,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,T901,PPG,72.8,PEG,10.8,456,0.75,2.1,570,0.72,15.3,0.8,1.041666667,0.137254902,0.02,4,0,10,4700,8.05863859,0.137389674,-0.513209785,0.43277943,14.19042396,74.58087692,66.73449096,31.35233917,0.0733738,-0.3937314,0.3937314,0.0733738,1.713645223,1.919042396,1.919042396,16.31396374,10.49756907,1.800890514,-1.87454942,1.650734211,-2.012347038,4.305559883,0.118071835,1.377937983,2.478573037,17.46716631,4.190519947,3.084947138,3.084947138,2.231644784,1.513871859,1.513871859,0.968515335,0.968515335,0.246496952,0.246496952,0,0,-0.08,9.349595548,4.812056528,2.255508913,3.704113056,30.37054881,10.21305479,0,0,0,0,0,0,6.176364969,0,12.7651348,10.21305479,0,0,0,11.62144804,7.320051742,0,0,22.97818959,0,6.176364969,0,40.46,5.445083065,0,7.320051742,0,0,6.176364969,0,0,10.21305479,0,0,15.92317229,0,0,-0.499716851,1.211981532,1,4.892056528,2,2,0,0,0,0.892056528,2,2,2,0,1,0,0,0.892056528,2.21815999,0,-0.682436039,18.27059975,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,T901,PPG,72.8,PEG,10.8,473,0.77,2.5,591,0.84,10.4,0.800338409,0.916666667,0.240384615,0.027,4,0,20,4700,8.05863859,0.137389674,-0.513209785,0.43277943,14.19042396,74.58087692,66.73449096,31.35233917,0.0733738,-0.3937314,0.3937314,0.0733738,1.713645223,1.919042396,1.919042396,16.31396374,10.49756907,1.800890514,-1.87454942,1.650734211,-2.012347038,4.305559883,0.118071835,1.377937983,2.478573037,17.46716631,4.190519947,3.084947138,3.084947138,2.231644784,1.513871859,1.513871859,0.968515335,0.968515335,0.246496952,0.246496952,0,0,-0.08,9.349595548,4.812056528,2.255508913,3.704113056,30.37054881,10.21305479,0,0,0,0,0,0,6.176364969,0,12.7651348,10.21305479,0,0,0,11.62144804,7.320051742,0,0,22.97818959,0,6.176364969,0,40.46,5.445083065,0,7.320051742,0,0,6.176364969,0,0,10.21305479,0,0,15.92317229,0,0,-0.499716851,1.211981532,1,4.892056528,2,2,0,0,0,0.892056528,2,2,2,0,1,0,0,0.892056528,2.21815999,0,-0.682436039,18.27059975,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,T908,PPG,84,PEG,456,110,0.17,72.5,79,0.07,91.3,1.392405063,2.428571429,0.794085433,0.283,4,0,1,25000,7.714557964,0.127558799,-0.205175701,0.412743009,8.881751451,64.65224368,58.23282889,27.10540116,0.06770272,-0.393937022,0.393937022,0.06770272,1.147386821,1.388175145,1.388175145,16.30626269,10.75207927,1.621889423,-1.735308651,1.44591737,-1.879800402,4.112683344,0.171922268,1.372393677,2.07879886,8.368276475,3.574541589,2.46896878,2.46896878,1.979771597,1.211228203,1.211228203,0.554876344,0.554876344,0.130255538,0.130255538,0,0,-0.08,7.370004676,4.104233527,2.782764822,2.288467054,25.86529638,10.21305479,0,0,0,0,0,0,1.275584523,0,13.12111002,10.21305479,0,0,0,2.400139778,11.99655476,0,0,23.33416481,0,1.275584523,0,40.46,1.124555255,0,11.99655476,0,0,1.275584523,0,0,10.21305479,0,0,15.38902808,0,0,-0.103204892,0.05193828,1,4.184233527,2,2,0,0,0,0.184233527,2,2,2,0,1,0,0,0.184233527,2.728712432,0,-0.957425275,15.01815306,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,T908,PPG,84,PEG,456,87,0.14,86.2,79,0.04,91.7,1.101265823,3.5,0.94002181,0.335,4,0,5,25000,7.714557964,0.127558799,-0.205175701,0.412743009,8.881751451,64.65224368,58.23282889,27.10540116,0.06770272,-0.393937022,0.393937022,0.06770272,1.147386821,1.388175145,1.388175145,16.30626269,10.75207927,1.621889423,-1.735308651,1.44591737,-1.879800402,4.112683344,0.171922268,1.372393677,2.07879886,8.368276475,3.574541589,2.46896878,2.46896878,1.979771597,1.211228203,1.211228203,0.554876344,0.554876344,0.130255538,0.130255538,0,0,-0.08,7.370004676,4.104233527,2.782764822,2.288467054,25.86529638,10.21305479,0,0,0,0,0,0,1.275584523,0,13.12111002,10.21305479,0,0,0,2.400139778,11.99655476,0,0,23.33416481,0,1.275584523,0,40.46,1.124555255,0,11.99655476,0,0,1.275584523,0,0,10.21305479,0,0,15.38902808,0,0,-0.103204892,0.05193828,1,4.184233527,2,2,0,0,0,0.184233527,2,2,2,0,1,0,0,0.184233527,2.728712432,0,-0.957425275,15.01815306,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,T908,PPG,84,PEG,456,88,0.13,88.5,88,0.06,92.4,1,2.166666667,0.957792208,0.462,4,0,10,25000,7.714557964,0.127558799,-0.205175701,0.412743009,8.881751451,64.65224368,58.23282889,27.10540116,0.06770272,-0.393937022,0.393937022,0.06770272,1.147386821,1.388175145,1.388175145,16.30626269,10.75207927,1.621889423,-1.735308651,1.44591737,-1.879800402,4.112683344,0.171922268,1.372393677,2.07879886,8.368276475,3.574541589,2.46896878,2.46896878,1.979771597,1.211228203,1.211228203,0.554876344,0.554876344,0.130255538,0.130255538,0,0,-0.08,7.370004676,4.104233527,2.782764822,2.288467054,25.86529638,10.21305479,0,0,0,0,0,0,1.275584523,0,13.12111002,10.21305479,0,0,0,2.400139778,11.99655476,0,0,23.33416481,0,1.275584523,0,40.46,1.124555255,0,11.99655476,0,0,1.275584523,0,0,10.21305479,0,0,15.38902808,0,0,-0.103204892,0.05193828,1,4.184233527,2,2,0,0,0,0.184233527,2,2,2,0,1,0,0,0.184233527,2.728712432,0,-0.957425275,15.01815306,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,T908,PPG,84,PEG,456,93,0.13,85.8,93,0.06,91.5,1,2.166666667,0.937704918,0.499,4,0,20,25000,7.714557964,0.127558799,-0.205175701,0.412743009,8.881751451,64.65224368,58.23282889,27.10540116,0.06770272,-0.393937022,0.393937022,0.06770272,1.147386821,1.388175145,1.388175145,16.30626269,10.75207927,1.621889423,-1.735308651,1.44591737,-1.879800402,4.112683344,0.171922268,1.372393677,2.07879886,8.368276475,3.574541589,2.46896878,2.46896878,1.979771597,1.211228203,1.211228203,0.554876344,0.554876344,0.130255538,0.130255538,0,0,-0.08,7.370004676,4.104233527,2.782764822,2.288467054,25.86529638,10.21305479,0,0,0,0,0,0,1.275584523,0,13.12111002,10.21305479,0,0,0,2.400139778,11.99655476,0,0,23.33416481,0,1.275584523,0,40.46,1.124555255,0,11.99655476,0,0,1.275584523,0,0,10.21305479,0,0,15.38902808,0,0,-0.103204892,0.05193828,1,4.184233527,2,2,0,0,0,0.184233527,2,2,2,0,1,0,0,0.184233527,2.728712432,0,-0.957425275,15.01815306,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
